created_at,twitter_id,screen_name,followers_count,friends_count,favorite_count/like_count,retweet_count,hashtags,mentions,in_reply_to_screen_name,twitter_url,text,is_retweet,is_quote,coordinates,url1,url1_expanded,url2,url2_expanded,media_url
2016-09-27 02:14:18+00:00,780591364459401220,vanilla001,66,153,0,0,,"AlisonForKY, realDonaldTrump",,http://twitter.com/vanilla001/status/780591364459401220,RT @AlisonForKY: Reminder: No living President has said they believe @realDonaldTrump has what it takes to be Commander-in-Chief. #debateni…,Yes,No,,,,,,
2016-09-27 02:14:46+00:00,780591480217989120,x_money04,666,469,0,0,,HillaryClinton,,http://twitter.com/x_money04/status/780591480217989120,"RT @HillaryClinton: When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind o…",Yes,No,,,,,,
2016-09-27 02:15:05+00:00,780591558978592769,BJTurboCoach,214,383,0,0,,HillaryClinton,,http://twitter.com/BJTurboCoach/status/780591558978592769,RT @HillaryClinton: Add your name now to join the millions of Americans who are with Hillary all the way to the White House! https://t.co/J…,Yes,No,,,,,,
2016-09-27 02:15:33+00:00,780591678990061568,jeffdginn,114,193,0,0,"debatenight, ClassicClinton","ProudBoysUhuru, HillaryClinton",,http://twitter.com/jeffdginn/status/780591678990061568,"RT @ProudBoysUhuru: @HillaryClinton I put forth a plan to defeat ISIS, but Damnit I erased the email. #debatenight #ClassicClinton",Yes,No,,,,,,
2016-09-27 02:16:27+00:00,780591905742655488,YukaCHonda,6013,658,0,0,DebateNight,cyndilauper,,http://twitter.com/YukaCHonda/status/780591905742655488,RT @cyndilauper: #DebateNight when did Isis start? Is this a revision of history?,Yes,No,,,,,,
2016-09-27 02:16:51+00:00,780592005613322241,alexamiadca,3,49,0,0,,HillaryClinton,,http://twitter.com/alexamiadca/status/780592005613322241,"RT @HillaryClinton: When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind o…",Yes,No,,,,,,
2016-09-27 02:16:54+00:00,780592018548518913,Brannddonnn,225,208,0,0,"MurrForAmurrica, DebateNight, Debates2016",truTVjokers,,http://twitter.com/Brannddonnn/status/780592018548518913,RT @truTVjokers: Not thrilled with either candidate? There's another option! #MurrForAmurrica #DebateNight #Debates2016 https://t.co/QQkkZ3…,Yes,No,,,,,,
2016-09-27 02:19:29+00:00,780592670284492801,Rub_Her_Toe,385,353,0,0,,HillaryClinton,,http://twitter.com/Rub_Her_Toe/status/780592670284492801,"RT @HillaryClinton: ""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoy…",Yes,Yes,,,,,,
2016-09-27 02:19:52+00:00,780592765407297537,sugaralelando,187,98,0,0,,"RoryOMalley, realDonaldTrump",,http://twitter.com/sugaralelando/status/780592765407297537,RT @RoryOMalley: Did @realDonaldTrump just say his 10yr old is great at computers while talking cyber security? Would he be put in charge o…,Yes,No,,,,,,
2016-09-27 02:20:12+00:00,780592848978661376,modestwedo,99,99,0,0,debates,Bill_Nye_Tho__,,http://twitter.com/modestwedo/status/780592848978661376,RT @Bill_Nye_Tho__: the ultimate blood vs crip gang fight #debates https://t.co/zATvHIy4fk,Yes,No,,,,,,http://pbs.twimg.com/media/CtUqajqUkAARt1A.jpg
2016-09-27 02:20:14+00:00,780592857363075072,pdawsonii,143,300,0,0,debatenight,RightExactEnt,,http://twitter.com/pdawsonii/status/780592857363075072,RT @RightExactEnt: Trump treating Lester questions like Chapelle on the couch....f%*k yo questions! #debatenight https://t.co/5qOJJtrSqj,Yes,No,,,,,,http://pbs.twimg.com/tweet_video_thumb/CtU4VrBUkAAIYS1.jpg
